video,total_frames,miss_frames,miss_rate
0670,2035,883,0.433907
0671,5400,48,0.008889
0672,3447,1888,0.547723
0673,8783,8771,0.998634
0674,12241,1900,0.155216
0675,4922,1532,0.311256
0676,16674,0,0.0
0677,13722,12944,0.943303
0678,540,212,0.392593
0679,17629,5154,0.292359
068,242,0,0.0
0680,17987,17921,0.996331
0681,2916,0,0.0
0682,7083,1330,0.187774
0683,42977,13312,0.309747
0684,4654,487,0.104641
0685,24003,5,0.000208
0686,1964,54,0.027495
0687,17969,3409,0.189716
0688,294,2,0.006803
0689,10863,1134,0.104391
069,581,15,0.025818
0690,13430,13128,0.977513
0691,5162,325,0.06296
0692,2543,2524,0.992529
0693,2179,505,0.231758
0694,3313,359,0.108361
0695,5997,5380,0.897115
0696,20079,3058,0.152298
0697,3145,38,0.012083
0698,10970,0,0.0
0699,6573,119,0.018104
070,15142,0,0.0
0700,9019,540,0.059874
0701,45740,1157,0.025295
0702,919,175,0.190424
0703,1911,573,0.299843
0704,9105,7597,0.834377
0705,1562,2,0.00128
0706,11455,0,0.0
0707,646,265,0.410217
0708,6105,3877,0.635053
0709,4644,2765,0.595392
071,1390,0,0.0
0710,9409,3507,0.372728
0711,3069,3069,1.0
0712,7549,4259,0.564181
0713,1014,202,0.199211
0714,11348,9104,0.802256
0715,243,0,0.0
0716,14100,364,0.025816
0717,3907,970,0.248272
0718,8767,83,0.009467
0719,8026,451,0.056192
072,1030,0,0.0
0720,6370,0,0.0
0721,10376,5731,0.552332
0722,2827,1439,0.50902
0723,5475,18,0.003288
0724,12318,0,0.0
0725,2293,755,0.329263
0726,9724,3691,0.379576
0727,163438,10247,0.062697
0728,8004,7957,0.994128
0729,5486,579,0.105541
073,2051,0,0.0
0730,19380,19241,0.992828
0731,3670,3669,0.999728
0732,16128,10344,0.641369
0733,9858,9710,0.984987
0734,124,3,0.024194
0735,6883,6848,0.994915
0736,334,50,0.149701
0737,5379,1943,0.36122
0738,2754,110,0.039942
0739,3248,1082,0.333128
074,7884,24,0.003044
0740,1922,1902,0.989594
0741,8653,8639,0.998382
0742,8007,7859,0.981516
0743,592,424,0.716216
0744,708,283,0.399718
0745,152841,7146,0.046754
0746,8096,3136,0.387352
0747,5821,2716,0.466586
0748,4918,1810,0.368036
0749,8687,7037,0.810061
075,10639,3760,0.353417
0750,338,2,0.005917
0751,9515,202,0.02123
0752,16864,3442,0.204103
0753,7028,3033,0.431559
0754,15683,4697,0.299496
0755,4339,941,0.21687
0756,10469,4335,0.41408
0757,1381,376,0.272266
0758,16202,12728,0.785582
0759,22128,15995,0.72284
076,9910,892,0.09001
0760,3087,3057,0.990282
0761,4939,2578,0.521968
0762,9538,0,0.0
0763,1025,946,0.922927
0764,1620,1155,0.712963
0765,5309,1329,0.25033
0766,215,19,0.088372
0767,11676,3641,0.311836
0768,12309,693,0.0563
0769,3644,3,0.000823
077,1655,70,0.042296
0770,6037,1705,0.282425
0771,3199,394,0.123163
0772,2199,469,0.213279
0773,6704,4640,0.692124
0774,13443,8,0.000595
0775,16350,92,0.005627
0776,4159,3748,0.901178
0777,2174,2033,0.935143
0778,2523,1822,0.722156
0779,13613,8015,0.588775
078,1442,0,0.0
0780,2495,840,0.336673
0781,47998,10851,0.226072
0782,506,12,0.023715
0783,5490,4716,0.859016
0784,1807,987,0.546209
0785,2494,733,0.293905
0786,10009,9630,0.962134
0787,2050,1074,0.523902
0788,2798,2796,0.999285
0789,17917,5268,0.294022
079,14100,364,0.025816
0790,2400,110,0.045833
0791,14859,208,0.013998
0792,4859,1141,0.234822
0793,3542,983,0.277527
0794,17314,229,0.013226
0795,14423,2,0.000139
0796,9655,3018,0.312584
0797,2729,2713,0.994137
0798,7308,7100,0.971538
0799,11988,160,0.013347
080,278,0,0.0
0800,5824,2602,0.446772
0801,4676,754,0.161249
0802,15212,1901,0.124967
0803,1127,1030,0.913931
0804,14801,7005,0.473279
0805,98,67,0.683673
0806,22984,7298,0.317525
0807,3876,1295,0.334107
0808,7587,7193,0.948069
0809,4457,4289,0.962306
081,5886,4595,0.780666
0810,2727,1535,0.56289
0811,16859,13141,0.779465
0812,9561,2770,0.289719
0813,3302,137,0.04149
0814,3393,3393,1.0
0815,338,2,0.005917
0816,15654,3831,0.24473
0817,14888,305,0.020486
0818,6218,4204,0.676102
0819,2242,1139,0.508029
082,1160,170,0.146552
0820,5515,530,0.096102
0821,5877,3939,0.67024
0822,5102,1326,0.259898
0823,17949,10,0.000557
0824,7927,7677,0.968462
0825,13043,398,0.030514
0826,9814,385,0.03923
0827,14497,8,0.000552
0828,6172,5897,0.955444
0829,6302,4854,0.770232
083,564,0,0.0
0830,2012,1031,0.512425
0831,615,383,0.622764
0832,14792,5452,0.368578
0833,25270,5656,0.223823
0834,993,0,0.0
0835,1680,142,0.084524
0836,2679,931,0.347518
0837,6015,5799,0.96409
0838,11970,5495,0.459064
0839,4406,4373,0.99251
084,12541,272,0.021689
0840,9457,3748,0.39632
0841,7613,7613,1.0
0842,3146,1182,0.375715
0843,10578,10165,0.960957
0844,24170,67,0.002772
0845,7300,4490,0.615068
0846,4415,956,0.216535
0847,1776,335,0.188626
0848,5643,1560,0.276449
0849,3592,3505,0.97578
085,1373,34,0.024763
0850,2091,1530,0.731707
0851,10453,8527,0.815747
0852,7075,1534,0.21682
0853,12680,991,0.078155
0854,13906,389,0.027974
0855,6993,1163,0.166309
0856,18714,6099,0.325906
0857,8046,0,0.0
0858,19526,9291,0.475827
0859,2591,729,0.281359
086,916,0,0.0
0860,4690,93,0.019829
0861,5102,1044,0.204626
0862,3062,2457,0.802417
0863,3022,1139,0.376903
0864,7151,4783,0.668858
0865,5426,1389,0.25599
0866,3855,782,0.202853
0867,5983,5933,0.991643
0868,790,42,0.053165
0869,7414,1482,0.199892
087,28426,1333,0.046894
0870,2962,1323,0.446658
0871,18786,18115,0.964282
0872,5089,653,0.128316
0873,19973,17740,0.888199
0874,1359,332,0.244297
0875,13504,183,0.013552
0876,1561,387,0.247918
0877,63,0,0.0
0878,2881,2740,0.951059
0879,9356,1530,0.163531
088,5906,6,0.001016
0880,1225,183,0.149388
0881,239,15,0.062762
0882,2931,418,0.142613
0883,7080,0,0.0
0884,2443,2427,0.993451
0885,11754,290,0.024672
0886,74,0,0.0
0887,9680,1,0.000103
0888,699,181,0.258941
0889,4159,513,0.123347
089,40911,3516,0.085943
0890,3869,137,0.03541
0891,571,167,0.292469
0892,6078,5420,0.891741
0893,6744,6527,0.967823
0894,1914,1810,0.945664
0895,20852,20577,0.986812
0896,5672,1818,0.320522
0897,10833,5408,0.499215
0898,4596,1158,0.251958
0899,3750,3447,0.9192
090,9652,2216,0.22959
0900,4534,1260,0.2779
0901,4222,977,0.231407
0902,2399,0,0.0
0903,2798,1540,0.550393
0904,9097,2345,0.257777
0905,15591,0,0.0
0906,22293,6244,0.280088
0907,27777,12929,0.465457
0908,467,0,0.0
0909,2176,1486,0.682904
091,25864,32,0.001237
0910,2898,200,0.069013
0911,38385,37571,0.978794
0912,712,156,0.219101
0913,5799,1229,0.211933
0914,29121,9037,0.310326
0915,2875,370,0.128696
0916,12416,967,0.077883
0917,13755,13408,0.974773
0918,6875,759,0.1104
0919,4670,0,0.0
092,10257,545,0.053134
0920,4300,1443,0.335581
0921,4200,1898,0.451905
0922,8787,1665,0.189484
0923,464,174,0.375
0924,777,202,0.259974
0925,18984,18961,0.998788
0926,119,0,0.0
0927,1987,204,0.102667
0928,1683,1108,0.658348
0929,7920,7908,0.998485
093,22028,12125,0.550436
0930,7865,34,0.004323
0931,1271,617,0.485445
0932,2416,604,0.25
0933,5503,3130,0.568781
0934,27832,5462,0.196249
0935,7604,627,0.082457
0936,1471,329,0.223657
0937,4432,1197,0.270081
0938,17695,17375,0.981916
0939,15977,15176,0.949865
094,9260,1120,0.12095
0940,14334,14109,0.984303
0941,1784,985,0.55213
0942,22657,14363,0.633932
0943,17873,17823,0.997202
0944,939,459,0.488818
0945,8555,2882,0.336879
0946,2419,131,0.054155
0947,12327,4707,0.381845
0948,10789,10656,0.987673
0949,2030,9,0.004433
095,9167,69,0.007527
0950,1547,676,0.436975
0951,1215,0,0.0
0952,5277,1135,0.215084
0953,6264,5987,0.955779
0954,2855,1948,0.682312
0955,1109,479,0.431921
0956,2808,762,0.271368
0957,7219,2977,0.412384
0958,26874,9956,0.37047
0959,1272,1019,0.801101
096,10768,0,0.0
0960,21876,21527,0.984046
0961,2739,910,0.332238
0962,2168,69,0.031827
0963,5599,444,0.0793
0964,4872,2063,0.42344
0965,3056,1334,0.436518
0966,18426,16,0.000868
0967,1031,72,0.069835
0968,4845,4763,0.983075
0969,10527,297,0.028213
097,1317,5,0.003797
0970,7520,55,0.007314
0971,2045,1889,0.923716
0972,1066,307,0.287992
0973,2977,2977,1.0
0974,1388,163,0.117435
0975,4001,3732,0.932767
0976,15268,14253,0.933521
0977,2958,1029,0.34787
0978,4527,4526,0.999779
0979,15530,10153,0.653767
098,13376,4,0.000299
0980,17683,17366,0.982073
0981,2997,2860,0.954288
0982,43505,10831,0.24896
0983,12849,6054,0.471165
0984,4056,1200,0.295858
0985,167,0,0.0
0986,1984,323,0.162802
0987,5652,3988,0.705591
0988,8118,7685,0.946662
0989,15054,5012,0.332935
099,1016,354,0.348425
0990,13346,13306,0.997003
0991,13284,13082,0.984794
0992,1475,1373,0.930847
0993,1246,154,0.123596
0994,15436,3028,0.196165
0995,5407,3475,0.642685
0996,2727,1371,0.50275
0997,1422,884,0.62166
0998,37093,64,0.001725
0999,2376,926,0.389731
100,3442,0,0.0
1000,6689,1425,0.213036
1001,10673,2782,0.260658
1002,6094,771,0.126518
1003,21048,857,0.040716
1004,25782,1069,0.041463
1005,7440,1569,0.210887
1006,2851,2019,0.708173
1007,15655,15358,0.981028
1008,6589,6269,0.951434
1009,6944,6814,0.981279
101,13814,160,0.011582
1010,2473,1357,0.548726
1011,11873,8449,0.711615
1012,4132,0,0.0
1013,16318,9752,0.597622
1014,7954,1474,0.185316
1015,3600,1339,0.371944
1016,164,81,0.493902
1017,16233,567,0.034929
1018,7440,1331,0.178898
1019,3304,701,0.212167
102,9871,55,0.005572
1020,812,359,0.442118
1021,441,421,0.954649
1022,12760,1551,0.121552
1023,3002,664,0.221186
1024,13425,13338,0.99352
1025,3213,791,0.246187
1026,2403,867,0.360799
1027,3000,2046,0.682
1028,6645,1627,0.244846
1029,4065,298,0.073309
103,10521,2,0.00019
1030,15326,4655,0.303732
1031,2418,119,0.049214
1032,6090,5893,0.967652
1033,2688,1804,0.671131
1034,11815,2515,0.212865
1035,17700,4320,0.244068
1036,11639,1,8.6e-05
1037,4418,1479,0.334767
1038,10175,3194,0.313907
1039,2950,745,0.252542
104,2374,13,0.005476
1040,1476,0,0.0
1041,2899,2899,1.0
1042,1159,213,0.183779
1043,4762,1136,0.238555
1044,1868,1720,0.920771
1045,319,2,0.00627
1046,2081,2,0.000961
1047,4610,4300,0.932755
1048,5097,1908,0.374338
1049,439,240,0.546697
105,1986,8,0.004028
1050,6057,2791,0.460789
1051,2609,2608,0.999617
1052,4003,1969,0.491881
1053,2958,1029,0.34787
1054,2499,864,0.345738
1055,4223,1846,0.43713
1056,1498,272,0.181575
1057,12458,1928,0.15476
1058,7813,2567,0.328555
1059,5388,922,0.171121
106,354,0,0.0
1060,720,401,0.556944
1061,5617,899,0.16005
1062,5192,2818,0.542758
1063,2087,569,0.27264
1064,3309,3207,0.969175
1065,10773,653,0.060614
1066,28733,11608,0.403995
1067,10475,4902,0.467971
1068,1468,225,0.15327
1069,2453,1882,0.767224
107,20000,4,0.0002
1070,995,273,0.274372
1071,3503,3371,0.962318
1072,3047,337,0.110601
1073,7014,3233,0.460935
1074,5865,5605,0.955669
1075,15676,1296,0.082674
1076,6703,3585,0.534835
1077,3859,2625,0.680228
1078,1662,402,0.241877
1079,6156,2662,0.432424
108,1618,12,0.007417
1080,6384,6305,0.987625
1081,2951,2680,0.908167
1082,2934,288,0.09816
1083,1214,746,0.614498
1084,10460,1678,0.160421
1085,7588,1951,0.257116
1086,5269,0,0.0
1087,446,49,0.109865
1088,1401,433,0.309065
1089,2411,2357,0.977603
109,28551,702,0.024588
1090,2369,218,0.092022
1091,16843,2110,0.125275
1092,16798,16691,0.99363
1093,6956,2203,0.316705
1094,14913,1,6.7e-05
1095,7215,3475,0.481635
1096,3938,3704,0.940579
1097,11216,5849,0.521487
1098,19441,459,0.02361
1099,2468,914,0.37034
110,3700,0,0.0
1100,13307,13292,0.998873
1101,2657,1148,0.432066
1102,1826,1310,0.717415
1103,16223,7075,0.436109
1104,7047,2206,0.313041
1105,2238,660,0.294906
1106,13949,3194,0.228977
1107,964,811,0.841286
1108,6311,16,0.002535
1109,3517,3507,0.997157
111,9387,9343,0.995313
1110,2867,1346,0.46948
1111,2448,952,0.388889
1112,240,33,0.1375
1113,13194,13074,0.990905
1114,7194,206,0.028635
1115,5204,2009,0.386049
1116,1870,136,0.072727
1117,58665,878,0.014966
1118,38650,13775,0.356404
1119,2941,1140,0.387623
112,25979,7678,0.295546
1120,26398,15,0.000568
1121,16965,4303,0.25364
1122,32816,61,0.001859
1123,31474,812,0.025799
1124,5599,4095,0.731381
1125,23396,972,0.041546
1126,40698,65,0.001597
1127,23570,901,0.038227
1128,57192,2987,0.052228
1129,44597,6996,0.156872
113,1201,0,0.0
1130,60754,12224,0.201205
1131,36031,0,0.0
1132,7116,61,0.008572
1133,35771,1359,0.037992
1134,28239,1102,0.039024
1135,32075,356,0.011099
1136,22763,827,0.036331
1137,14068,534,0.037958
1138,21499,0,0.0
1139,25090,993,0.039578
114,1958,0,0.0
1140,31235,746,0.023883
1141,29666,495,0.016686
1142,26787,577,0.02154
1143,15564,157,0.010087
1144,18343,122,0.006651
1145,32345,524,0.0162
1146,30540,161,0.005272
1147,25383,324,0.012764
1148,39405,23,0.000584
1149,18636,18,0.000966
115,233,0,0.0
1150,27829,9,0.000323
1151,51290,1050,0.020472
1152,28608,299,0.010452
1153,35065,837,0.02387
1154,23718,61,0.002572
1155,22487,1281,0.056966
1156,31125,1636,0.052562
1157,73733,30,0.000407
1158,30467,17,0.000558
1159,25818,15,0.000581
116,15637,12850,0.821769
1160,69336,4434,0.063949
1161,19344,405,0.020937
1162,33235,179,0.005386
1163,16402,5622,0.342763
1164,23530,61,0.002592
1165,24136,2911,0.120608
1166,19884,614,0.030879
1167,33600,6557,0.195149
1168,18857,192,0.010182
1169,20731,1189,0.057354
117,878,1,0.001139
1170,27913,863,0.030917
1171,23873,110,0.004608
1172,9924,3917,0.3947
1173,36119,72,0.001993
1174,23610,54,0.002287
1175,8620,2480,0.287703
1176,22196,864,0.038926
1177,15109,278,0.0184
1178,17322,974,0.056229
1179,20020,3876,0.193606
118,15095,13564,0.898576
1180,22109,1700,0.076892
1181,13485,827,0.061327
1182,27780,1222,0.043988
1183,13941,1808,0.129689
1184,21923,14,0.000639
1185,23869,1792,0.075076
1186,2402,123,0.051207
1187,12616,0,0.0
1188,27547,424,0.015392
1189,24220,230,0.009496
119,591,0,0.0
1190,19970,166,0.008312
1191,19598,1875,0.095673
1192,8662,440,0.050797
1193,26279,409,0.015564
1194,15537,4256,0.273927
1195,9046,19,0.0021
1196,18444,139,0.007536
1197,20257,101,0.004986
1198,24673,183,0.007417
1199,11019,13,0.00118
120,421,0,0.0
1200,19586,92,0.004697
1201,25073,540,0.021537
1202,30317,15,0.000495
1203,19590,556,0.028382
1204,22258,812,0.036481
1205,8797,347,0.039445
1206,24177,147,0.00608
1207,14159,513,0.036231
1208,23238,573,0.024658
1209,8811,1,0.000113
121,12192,380,0.031168
1210,13321,934,0.070115
1211,22929,19,0.000829
1212,13786,1643,0.119179
1213,18807,1052,0.055937
1214,27160,0,0.0
1215,17581,169,0.009613
1216,20108,3896,0.193754
1217,13647,458,0.03356
1218,78306,113,0.001443
1219,9028,106,0.011741
122,545,0,0.0
1220,9585,129,0.013459
1221,14041,1,7.1e-05
1222,13042,1,7.7e-05
1223,6032,27,0.004476
1224,47527,246,0.005176
1225,13276,34,0.002561
1226,35865,222,0.00619
1227,9646,1396,0.144723
1228,12171,0,0.0
1229,22996,172,0.00748
123,23713,0,0.0
1230,12821,181,0.014117
1231,28040,3444,0.122825
1232,12024,15,0.001248
1233,14865,344,0.023142
1234,43661,1087,0.024896
1235,11374,0,0.0
1236,707,103,0.145686
1237,10782,60,0.005565
1238,34613,287,0.008292
1239,8569,3,0.00035
124,8803,6,0.000682
1240,18490,2,0.000108
1241,8940,0,0.0
1242,12633,4,0.000317
1243,9003,346,0.038432
1244,18549,105,0.005661
1245,14167,0,0.0
1246,26602,665,0.024998
1247,10777,0,0.0
1248,20283,5540,0.273135
1249,24442,418,0.017102
125,2391,0,0.0
1250,13239,3,0.000227
1251,15930,1112,0.069805
1252,11645,824,0.07076
1253,18928,0,0.0
1254,28537,372,0.013036
1255,12315,517,0.041981
1256,12353,0,0.0
1257,17626,180,0.010212
1258,4043,2,0.000495
1259,8120,111,0.01367
126,1619,277,0.171093
1260,15040,143,0.009508
1261,8606,20,0.002324
1262,16705,1080,0.064651
1263,11400,192,0.016842
1264,14840,0,0.0
1265,9635,29,0.00301
1266,5535,91,0.016441
1267,21468,121,0.005636
1268,8516,6,0.000705
1269,7700,66,0.008571
127,12866,123,0.00956
1270,14945,192,0.012847
1271,33876,744,0.021962
1272,8517,260,0.030527
1273,9295,15,0.001614
1274,8208,111,0.013523
1275,14294,571,0.039947
1276,10838,118,0.010888
1277,23592,0,0.0
1278,19033,885,0.046498
1279,12999,75,0.00577
128,1425,0,0.0
1280,7500,249,0.0332
1281,6735,2,0.000297
1282,12578,68,0.005406
1283,16009,180,0.011244
1284,13077,42,0.003212
1285,29731,12,0.000404
1286,24814,160,0.006448
1287,13085,13085,1.0
1288,7935,3515,0.442974
1289,7089,15,0.002116
129,17258,47,0.002723
1290,7893,0,0.0
1291,5611,0,0.0
1292,8991,102,0.011345
1293,8376,400,0.047755
1294,7768,166,0.02137
1295,21795,1039,0.047671
1296,17059,43,0.002521
1297,18108,1188,0.065606
1298,27330,335,0.012258
1299,15004,86,0.005732
130,5358,0,0.0
1300,26567,462,0.01739
1301,26649,347,0.013021
1302,6002,37,0.006165
1303,13197,777,0.058877
1304,22073,161,0.007294
1305,30489,0,0.0
1306,6855,20,0.002918
1307,7854,1490,0.189712
1308,5995,275,0.045872
1309,13327,0,0.0
131,1262,0,0.0
1310,8708,0,0.0
1311,8032,288,0.035857
1312,8237,34,0.004128
1313,12034,0,0.0
1314,20518,266,0.012964
1315,11264,375,0.033292
1316,5411,508,0.093883
1317,20913,632,0.03022
1318,4058,49,0.012075
1319,17745,2518,0.141899
132,415,2,0.004819
1320,8078,0,0.0
1321,14888,32,0.002149
1322,5692,239,0.041989
1323,7200,0,0.0
1324,12718,140,0.011008
1325,8474,33,0.003894
1326,17487,151,0.008635
1327,9557,2,0.000209
1328,5135,180,0.035054
1329,9002,436,0.048434
133,401,39,0.097257
1330,7502,0,0.0
1331,15643,82,0.005242
1332,16520,7264,0.439709
1333,17289,108,0.006247
1334,17856,947,0.053035
1335,9264,0,0.0
1336,17343,1035,0.059678
1337,17639,68,0.003855
1338,11290,1427,0.126395
1339,5284,459,0.086866
134,22125,374,0.016904
1340,22976,0,0.0
1341,11622,67,0.005765
1342,12189,3,0.000246
1343,6947,331,0.047646
1344,16133,72,0.004463
1345,8663,32,0.003694
1346,12775,7,0.000548
1347,6086,0,0.0
1348,4375,13,0.002971
1349,2841,48,0.016895
135,9138,2290,0.250602
1350,12337,17,0.001378
1351,8735,2748,0.314596
1352,14676,7,0.000477
1353,7931,18,0.00227
1354,4529,43,0.009494
1355,7802,29,0.003717
1356,13095,244,0.018633
1357,8857,94,0.010613
1358,4509,0,0.0
1359,9638,592,0.061424
136,5431,58,0.010679
1360,4938,1,0.000203
1361,6096,111,0.018209
1362,10306,2,0.000194
1363,17417,841,0.048286
1364,16316,0,0.0
1365,16106,0,0.0
1366,6124,61,0.009961
1367,10430,60,0.005753
1368,3134,187,0.059668
1369,3637,85,0.023371
137,7901,82,0.010378
1370,9379,779,0.083058
1371,4824,36,0.007463
1372,26003,244,0.009384
1373,12005,591,0.049229
1374,15588,4967,0.318643
1375,1789,13,0.007267
1376,6132,6,0.000978
1377,6089,0,0.0
1378,7447,2676,0.359339
1379,3020,2,0.000662
138,44957,532,0.011834
1380,7237,1132,0.156418
1381,9919,12,0.00121
1382,3082,0,0.0
1383,7382,374,0.050664
1384,9096,10,0.001099
1385,10708,198,0.018491
1386,4311,13,0.003016
1387,10394,291,0.027997
1388,4147,22,0.005305
1389,1940,10,0.005155
139,9777,1524,0.155876
1390,2650,32,0.012075
1391,4438,0,0.0
1392,7869,3,0.000381
1393,15354,245,0.015957
1394,11191,1923,0.171835
1395,3933,10,0.002543
1396,9197,1125,0.122322
1397,5150,12,0.00233
1398,7691,10,0.0013
1399,4745,231,0.048683
140,40,0,0.0
1400,7804,3,0.000384
1401,8892,181,0.020355
1402,5217,192,0.036803
1403,9515,364,0.038255
1404,10710,581,0.054248
1405,2116,139,0.06569
1406,5601,0,0.0
1407,3247,770,0.237142
1408,2065,0,0.0
1409,6490,0,0.0
141,159,0,0.0
1410,3755,488,0.12996
1411,3498,0,0.0
1412,4840,0,0.0
1413,2960,43,0.014527
1414,2493,0,0.0
1415,5691,1834,0.322263
1416,2187,5,0.002286
1417,1331,18,0.013524
1418,2892,282,0.09751
1419,1831,0,0.0
142,2080,7,0.003365
1420,1577,0,0.0
1421,2370,3,0.001266
1422,726,167,0.230028
1423,2223,0,0.0
1425,67722,3817,0.056363
1426,36633,348,0.0095
1427,94726,1414,0.014927
1428,16719,480,0.02871
1429,43091,135,0.003133
143,345,9,0.026087
1430,59524,4662,0.078321
1431,39707,221,0.005566
1432,30719,1062,0.034571
1433,11848,6492,0.547941
1434,26079,7503,0.287703
1435,47801,261,0.00546
1436,31999,2078,0.06494
1437,37761,36,0.000953
1438,33064,2028,0.061336
1439,46609,204,0.004377
144,12494,0,0.0
1440,13015,3824,0.293815
1441,17459,1441,0.082536
1442,40496,787,0.019434
1443,40731,3763,0.092387
1444,7197,2678,0.372099
1445,32866,678,0.020629
1446,38339,1796,0.046845
1447,33761,3,8.9e-05
1448,33857,4805,0.14192
1449,10143,1816,0.17904
145,15498,0,0.0
1450,25853,8263,0.319615
1451,29098,2029,0.06973
1452,20066,355,0.017692
1453,39807,1694,0.042555
1454,11145,9454,0.848273
1455,6898,1623,0.235286
1456,87197,557,0.006388
1457,9525,2204,0.231391
1458,28387,12098,0.426181
1459,18424,2720,0.147634
146,567,2,0.003527
1460,18379,6325,0.344143
1461,2659,218,0.081986
1462,18830,3705,0.19676
1463,23512,5876,0.249915
1464,19693,517,0.026253
1465,23573,263,0.011157
1466,18255,0,0.0
1467,28152,7795,0.27689
1468,21072,5954,0.282555
1469,19427,1431,0.07366
147,9006,0,0.0
1470,15957,1670,0.104656
1471,33741,423,0.012537
1472,3948,707,0.179078
1473,17935,3307,0.184388
1474,12550,3477,0.277052
1475,15839,959,0.060547
1476,5404,2142,0.396373
1477,29254,1742,0.059547
1478,18600,9663,0.519516
1479,16533,4653,0.281437
148,3242,1,0.000308
1480,24749,2124,0.085822
1481,27856,1859,0.066736
1482,26688,1690,0.063324
1483,30534,3716,0.1217
1484,37861,268,0.007079
1485,24041,2267,0.094297
1486,31161,388,0.012451
1487,21738,11,0.000506
1488,14396,241,0.016741
1489,41803,60,0.001435
149,9199,7,0.000761
1490,22662,487,0.02149
1491,23000,814,0.035391
1492,29259,1719,0.058751
1493,19868,672,0.033823
1494,21568,1042,0.048312
1495,16398,403,0.024576
1496,18887,189,0.010007
1497,14135,1594,0.11277
1498,22330,1243,0.055665
1499,5518,0,0.0
150,792,0,0.0
1500,11030,2969,0.269175
1501,14931,7052,0.472306
1502,6317,291,0.046066
1503,8089,3357,0.415008
1504,17145,2661,0.155206
1505,22558,15056,0.667435
1506,12203,3429,0.280996
1507,17684,6817,0.38549
1508,24711,131,0.005301
1509,94930,4177,0.044001
151,3947,1,0.000253
1510,17810,464,0.026053
1511,31525,2805,0.088977
1512,10262,4122,0.401676
1513,11778,461,0.039141
1514,11680,659,0.056421
1515,18519,2376,0.128301
1516,14761,1707,0.115643
1517,18255,244,0.013366
1518,17823,2308,0.129496
1519,14726,442,0.030015
